,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
394,Top Location,Ranking,1.0,Brisbane,146855,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
395,Top Location,Ranking,2.0,Melbourne,128744,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
396,Top Location,Ranking,3.0,Sydney,114538,Business Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
404,Top Location,Ranking,1.0,Brisbane,146855,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
405,Top Location,Ranking,2.0,Melbourne,128744,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
406,Top Location,Ranking,3.0,Sydney,114538,Business Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/business-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
423,Top Location,Ranking,1.0,Sydney,118208,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
424,Top Location,Ranking,2.0,Canberra,116975,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
425,Top Location,Ranking,3.0,Melbourne,97333,Management Consultant,All,Australia,https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
433,Top Location,Ranking,1.0,Sydney,118208,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
434,Top Location,Ranking,2.0,Canberra,116975,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
435,Top Location,Ranking,3.0,Melbourne,97333,Management Consultant,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
443,Top Location,Ranking,1.0,Sydney,118208,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
444,Top Location,Ranking,2.0,Canberra,116975,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
445,Top Location,Ranking,3.0,Melbourne,97333,Management Consultant,Senior,Australia,https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
